"tag","cluster"
ajax,ajax
apache,apache
asp.net,asp.net
c#,c#
csv,csv
django,django
excel,excel
excel-vba,excel
git,git
laravel,laravel
ms-access,c#
numpy,python
pandas,python
pdf,pdf
perl,perl
python,python
r,r
sql-server,sql-server
sqlite,sqlite
visual-studio,visual-studio
windows,windows
wordpress,wordpress
xaml,c#
xml,xml
c#-4.0,c#
python-2.7,python
python-3.x,python
sql-server-2008,sql-server
visual-studio-2010,visual-studio
android-activity,android
android-fragments,android
android-intent,android
azure,asp.net
c++11,c++
canvas,android
curl,linux
firebase,android
gcc,c++
google-maps,android
hash,c++
ipad,ios
java-ee,java
jdbc,java
jpa,java
matlab,c++
maven,java
mod-rewrite,javascript
opengl,c++
qt,c++
scala,java
spring-mvc,java
svn,php
symfony,php
tomcat,java
visual-c++,c++
xslt,php
asp.net-mvc-3,asp.net
asp.net-mvc-4,asp.net
ruby-on-rails-4,ruby-on-rails
ruby-on-rails-3,ruby-on-rails
entity-framework,.net
github,git
vim,linux
wcf,.net
wpf,.net
.net,.net
android,android
android-layout,android
android-studio,android
angular,javascript
angularjs,javascript
asp.net-mvc,asp.net
asp.net-web-api,asp.net
bash,linux
c,c
c++,c++
codeigniter,php
cordova,javascript
css,css
css3,css
eclipse,java
express,nodejs
facebook,facebook
firefox,html
google-chrome,html
hibernate,java
html,html
html5,html
internet-explorer,html
ios,ios
iphone,ios
java,java
javascript,javascript
jquery,javascript
jquery-ui,javascript
jsf,java
jsp,java
linq,.net
linux,linux
mongodb,mongodb
mysql,mysql
mysqli,mysql
objective-c,ios
oracle,oracle
osx,osx
php,php
postgresql,postgresql
razor,asp.net
reactjs,javascript
ruby,ruby-on-rails
ruby-on-rails,ruby-on-rails
selenium,javascript
servlets,java
spring,java
swift,swift
swing,java
tsql,sql-server
twitter-bootstrap,css
typescript,javascript
ubuntu,linux
unity3d,unity3d
unix,linux
vb.net,vb
vba,vb
winapi,windows
winforms,.net
xcode,xcode
xpath,xml
nodejs,nodejs
