"year","count","tag1","tag2","rank1","rank2"
2008,7568,.net,ajax,22,1
2009,40210,.net,ajax,24,1
2010,49612,.net,ajax,25,1
2011,69509,.net,ajax,25,1
2012,56017,.net,ajax,28,1
2013,49393,.net,ajax,28,1
2014,34391,.net,ajax,29,1
2015,31386,.net,ajax,27,1
2016,24647,.net,ajax,26,1
2017,20879,.net,ajax,27,1
2008,921,.net,android,31,1
2008,67,ajax,android,27,2
2009,10415,.net,android,32,1
2009,1542,ajax,android,28,2
2010,33257,.net,android,32,1
2010,8159,ajax,android,24,2
2011,62588,.net,android,27,1
2011,20224,ajax,android,17,2
2012,56110,.net,android,27,1
2012,31002,ajax,android,17,2
2013,46946,.net,android,30,1
2013,43295,ajax,android,18,2
2014,40184,ajax,android,19,1
2014,35543,.net,android,28,2
2015,40942,ajax,android,16,1
2015,32368,.net,android,26,2
2016,38911,ajax,android,16,1
2016,26708,.net,android,25,2
2017,33741,ajax,android,17,1
2017,24876,.net,android,21,2
2008,6,android,android-activity,22,1
2009,2158,android,android-activity,11,1
2010,36219,android,android-activity,4,1
2011,153650,android,android-activity,5,1
2012,253627,android,android-activity,5,1
2013,311523,android,android-activity,6,1
2014,329710,android,android-activity,6,1
2015,322760,android,android-activity,5,1
2016,277688,android,android-activity,7,1
2017,205754,android,android-activity,8,1
2011,47254,android,android-fragments,25,1
2012,148706,android,android-fragments,14,1
2013,271678,android,android-fragments,8,1
2014,350102,android,android-fragments,5,1
2015,342462,android,android-fragments,4,1
2016,349639,android,android-fragments,4,1
2017,270210,android,android-fragments,4,1
2009,1795,android,android-intent,14,1
2010,33386,android,android-intent,6,1
2011,132024,android,android-intent,7,1
2012,260653,android,android-intent,4,1
2013,321175,android,android-intent,4,1
2014,329538,android,android-intent,7,1
2015,297827,android,android-intent,7,1
2016,282390,android,android-intent,6,1
2017,211268,android,android-intent,7,1
2009,985,android,android-layout,22,1
2010,27972,android,android-layout,11,1
2011,164347,android,android-layout,2,1
2012,292189,android,android-layout,2,1
2013,352383,android,android-layout,3,1
2014,366716,android,android-layout,3,1
2015,348782,android,android-layout,3,1
2016,355505,android,android-layout,3,1
2017,277280,android,android-layout,3,1
2009,13,android,android-studio,30,1
2010,1,android,android-studio,31,1
2011,1201,android,android-studio,31,1
2012,5885,android,android-studio,31,1
2013,151776,android,android-studio,17,1
2014,254010,android,android-studio,11,1
2015,373215,android,android-studio,2,1
2016,418062,android,android-studio,2,1
2017,313448,android,android-studio,2,1
2011,95,ajax,angularjs,32,1
2012,5177,ajax,angularjs,32,1
2013,30430,ajax,angularjs,29,1
2014,46916,ajax,angularjs,14,1
2014,10,angular,angularjs,5,2
2015,57954,ajax,angularjs,9,1
2015,2737,angular,angularjs,3,2
2016,67804,angular,angularjs,3,1
2016,55907,ajax,angularjs,8,2
2017,122720,angular,angularjs,4,1
2017,44054,ajax,angularjs,9,2
2008,612,ajax,apache,17,1
2009,4988,ajax,apache,18,1
2010,10513,ajax,apache,18,1
2011,19775,ajax,apache,18,1
2012,28486,ajax,apache,19,1
2013,38383,ajax,apache,22,1
2014,36425,ajax,apache,22,1
2015,34237,ajax,apache,24,1
2016,30322,ajax,apache,25,1
2017,28318,ajax,apache,23,1
2008,19585,.net,asp.net,2,1
2008,1551,ajax,asp.net,4,2
2009,80395,.net,asp.net,2,1
2009,10437,ajax,asp.net,7,2
2010,100082,.net,asp.net,2,1
2010,17693,ajax,asp.net,8,2
2011,133223,.net,asp.net,2,1
2011,31302,ajax,asp.net,7,2
2011,8,angularjs,asp.net,15,3
2012,121803,.net,asp.net,2,1
2012,41850,ajax,asp.net,10,2
2012,1032,angularjs,asp.net,15,3
2013,111731,.net,asp.net,2,1
2013,51557,ajax,asp.net,10,2
2013,17020,angularjs,asp.net,15,3
2014,86400,.net,asp.net,2,1
2014,50048,angularjs,asp.net,14,2
2014,48286,ajax,asp.net,12,3
2015,82780,angularjs,asp.net,12,1
2015,73250,.net,asp.net,2,2
2015,45047,ajax,asp.net,14,3
2016,75553,angularjs,asp.net,17,1
2016,63716,.net,asp.net,2,2
2016,40625,ajax,asp.net,15,3
2017,53500,.net,asp.net,2,1
2017,46114,angularjs,asp.net,15,2
2017,35843,ajax,asp.net,14,3
2008,9538,.net,asp.net-mvc,17,1
2008,7318,asp.net,asp.net-mvc,9,2
2008,837,ajax,asp.net-mvc,13,3
2009,55796,.net,asp.net-mvc,14,1
2009,47418,asp.net,asp.net-mvc,8,2
2009,7143,ajax,asp.net-mvc,13,3
2010,69514,.net,asp.net-mvc,15,1
2010,65013,asp.net,asp.net-mvc,6,2
2010,12258,ajax,asp.net-mvc,13,3
2011,98594,asp.net,asp.net-mvc,9,1
2011,91580,.net,asp.net-mvc,16,2
2011,18828,ajax,asp.net-mvc,23,3
2011,6,angularjs,asp.net-mvc,18,4
2012,105049,asp.net,asp.net-mvc,8,1
2012,88122,.net,asp.net-mvc,14,2
2012,28386,ajax,asp.net-mvc,20,3
2012,817,angularjs,asp.net-mvc,20,4
2013,116185,asp.net,asp.net-mvc,6,1
2013,85057,.net,asp.net-mvc,9,2
2013,38879,ajax,asp.net-mvc,20,3
2013,18251,angularjs,asp.net-mvc,13,4
2014,103430,asp.net,asp.net-mvc,5,1
2014,67647,.net,asp.net-mvc,6,2
2014,50563,angularjs,asp.net-mvc,13,3
2014,40679,ajax,asp.net-mvc,18,4
2015,93249,asp.net,asp.net-mvc,4,1
2015,78793,angularjs,asp.net-mvc,15,2
2015,59994,.net,asp.net-mvc,6,3
2015,38312,ajax,asp.net-mvc,19,4
2016,85449,asp.net,asp.net-mvc,3,1
2016,74420,angularjs,asp.net-mvc,18,2
2016,52054,.net,asp.net-mvc,5,3
2016,35966,ajax,asp.net-mvc,19,4
2017,69591,asp.net,asp.net-mvc,3,1
2017,47869,angularjs,asp.net-mvc,13,2
2017,43716,.net,asp.net-mvc,5,3
2017,31930,ajax,asp.net-mvc,19,4
2009,293,asp.net-mvc,asp.net-mvc-3,29,1
2009,183,asp.net,asp.net-mvc-3,31,2
2010,12211,asp.net,asp.net-mvc-3,29,1
2010,10819,asp.net-mvc,asp.net-mvc-3,25,2
2011,85148,asp.net,asp.net-mvc-3,13,1
2011,38327,asp.net-mvc,asp.net-mvc-3,2,2
2012,94428,asp.net,asp.net-mvc-3,10,1
2012,48559,asp.net-mvc,asp.net-mvc-3,2,2
2013,78217,asp.net,asp.net-mvc-3,20,1
2013,55029,asp.net-mvc,asp.net-mvc-3,8,2
2014,48477,asp.net,asp.net-mvc-3,26,1
2014,45833,asp.net-mvc,asp.net-mvc-3,11,2
2015,37680,asp.net-mvc,asp.net-mvc-3,18,1
2015,29116,asp.net,asp.net-mvc-3,31,2
2016,28584,asp.net-mvc,asp.net-mvc-3,22,1
2016,17350,asp.net,asp.net-mvc-3,32,2
2017,21227,asp.net-mvc,asp.net-mvc-3,27,1
2017,13134,asp.net,asp.net-mvc-3,32,2
2010,585,asp.net,asp.net-mvc-4,32,1
