"year","count","tag1","tag2","rank1","rank2"
2015,11,.net,ajax,14,1
2016,278,.net,ajax,19,1
2017,411,.net,ajax,21,1
2015,15,.net,android,9,1
2015,13,ajax,android,6,2
2016,545,ajax,android,12,1
2016,293,.net,android,15,2
2017,1455,ajax,android,13,1
2017,463,.net,android,15,2
2015,25,android,android-asynctask,12,1
2016,2694,android,android-asynctask,26,1
2017,4135,android,android-asynctask,17,1
2016,2895,android,android-fragment,21,1
2017,4812,android,android-fragment,11,1
2015,25,android,android-intent,13,1
2016,2899,android,android-intent,20,1
2017,4045,android,android-intent,20,1
2015,23,android,android-layout,15,1
2016,4105,android,android-layout,3,1
2017,5623,android,android-layout,5,1
2015,19,android,android-sqlite,18,1
2015,1,android-layout,android-sqlite,3,2
2016,3064,android,android-sqlite,15,1
2016,377,android-layout,android-sqlite,8,2
2017,4426,android,android-sqlite,14,1
2017,349,android-layout,android-sqlite,8,2
2015,2,android,android-studio,28,1
2016,4748,android,android-studio,2,1
2016,493,android-layout,android-studio,2,2
2016,279,ajax,android-studio,31,3
2017,7885,android,android-studio,2,1
2017,1017,ajax,android-studio,26,2
2017,595,android-layout,android-studio,1,3
2015,6,ajax,angularjs,17,1
2015,6,.net,angularjs,23,2
2015,5,android,angularjs,25,3
2016,2852,android,angularjs,23,1
2016,501,ajax,angularjs,17,2
2016,431,android-studio,angularjs,18,3
2016,233,.net,angularjs,26,4
2017,3429,android,angularjs,28,1
2017,1393,ajax,angularjs,14,2
2017,1220,android-studio,angularjs,19,3
2017,445,.net,angularjs,18,4
2016,555,angularjs,angularjs-2.0,27,1
2017,993,angularjs,angularjs-2.0,10,1
2016,468,ajax,apache,19,1
2017,1036,ajax,apache,24,1
2015,16,.net,asp.net,7,1
2015,10,angularjs,asp.net,9,2
2015,8,ajax,asp.net,12,3
2016,865,angularjs,asp.net,14,1
2016,530,ajax,asp.net,14,2
2016,342,.net,asp.net,5,3
2016,337,android-studio,asp.net,30,4
2017,1366,ajax,asp.net,15,1
2017,1179,android-studio,asp.net,24,2
2017,708,angularjs,asp.net,18,3
2017,579,.net,asp.net,6,4
2015,13,ajax,asp.net-mvc,7,1
2015,10,.net,asp.net-mvc,16,2
2015,6,asp.net,asp.net-mvc,17,3
2015,4,angularjs,asp.net-mvc,19,4
2016,652,angularjs,asp.net-mvc,22,1
2016,649,asp.net,asp.net-mvc,6,2
2016,493,ajax,asp.net-mvc,18,3
2016,316,.net,asp.net-mvc,8,4
2017,1420,asp.net,asp.net-mvc,8,1
2017,890,ajax,asp.net-mvc,32,2
2017,485,.net,asp.net-mvc,13,3
2017,419,angularjs,asp.net-mvc,30,4
2015,15,asp.net,asp.net-mvc-5,5,1
2015,14,asp.net-mvc,asp.net-mvc-5,1,2
2015,12,.net,asp.net-mvc-5,12,3
2015,5,angularjs,asp.net-mvc-5,18,4
2016,720,angularjs,asp.net-mvc-5,19,1
2016,564,asp.net,asp.net-mvc-5,12,2
2016,506,asp.net-mvc,asp.net-mvc-5,4,3
2016,280,.net,asp.net-mvc-5,18,4
2017,1271,asp.net,asp.net-mvc-5,13,1
2017,643,asp.net-mvc,asp.net-mvc-5,3,2
2017,398,.net,asp.net-mvc-5,23,3
2017,386,angularjs,asp.net-mvc-5,32,4
2015,10,angularjs,bootstrap,10,1
2015,8,asp.net-mvc-5,bootstrap,10,2
2015,7,.net,bootstrap,22,3
2015,6,asp.net-mvc,bootstrap,9,4
2015,6,ajax,bootstrap,15,5
2015,6,asp.net,bootstrap,18,6
2015,3,android,bootstrap,27,7
2016,2361,android,bootstrap,31,1
2016,816,angularjs,bootstrap,15,2
2016,725,ajax,bootstrap,7,3
2016,553,asp.net,bootstrap,14,4
2016,428,asp.net-mvc,bootstrap,7,5
2016,366,android-studio,bootstrap,25,6
2016,268,asp.net-mvc-5,bootstrap,9,7
2016,257,.net,bootstrap,22,8
2017,3386,android,bootstrap,29,1
2017,1769,ajax,bootstrap,8,2
2017,1207,asp.net,bootstrap,15,3
2017,1175,android-studio,bootstrap,25,4
2017,1129,angularjs,bootstrap,9,5
2017,544,asp.net-mvc,bootstrap,8,6
2017,363,asp.net-mvc-5,bootstrap,13,7
2017,355,.net,bootstrap,27,8
2015,35,android,c#,5,1
2015,27,asp.net-mvc-5,c#,1,2
2015,27,.net,c#,1,3
2015,21,asp.net,c#,1,4
2015,16,ajax,c#,3,5
2015,14,asp.net-mvc,c#,2,6
2015,14,angularjs,c#,3,7
2015,8,c,c#,6,8
2015,6,bootstrap,c#,7,9
2015,1,android-layout,c#,13,10
2015,1,android-studio,c#,3,11
2016,3338,android,c#,10,1
2016,956,asp.net,c#,1,2
2016,952,angularjs,c#,8,3
2016,660,asp.net-mvc,c#,1,4
2016,596,ajax,c#,10,5
2016,515,bootstrap,c#,10,6
2016,512,android-studio,c#,7,7
2016,490,.net,c#,1,8
2016,467,c,c#,3,9
2016,411,asp.net-mvc-5,c#,1,10
2016,346,android-layout,c#,14,11
2017,4567,android,c#,12,1
2017,2184,asp.net,c#,1,2
2017,1514,android-studio,c#,9,3
2017,1509,ajax,c#,12,4
2017,942,c,c#,9,5
2017,917,.net,c#,1,6
2017,895,angularjs,c#,14,7
2017,843,asp.net-mvc,c#,1,8
2017,772,bootstrap,c#,10,9
2017,580,asp.net-mvc-5,c#,1,10
2017,250,android-layout,c#,17,11
2015,55,c#,c++,7,1
2015,11,c,c++,1,2
2015,5,bootstrap,c++,10,3
2016,1721,c#,c++,21,1
2016,587,c,c++,1,2
2016,347,android-studio,c++,28,3
2016,270,bootstrap,c++,28,4
2017,3287,c#,c++,28,1
2017,1289,c,c++,1,2
2017,1220,android-studio,c++,20,3
2017,428,bootstrap,c++,28,4
2015,60,c++,c++11,4,1
2015,6,c,c++11,9,2
2016,511,c++,c++11,10,1
2016,244,c,c++11,21,2
2017,1725,c++,c++11,8,1
2017,697,c,c++11,19,2
2016,492,c++,codeblocks,13,1
2016,245,c,codeblocks,20,2
2017,1355,c++,codeblocks,18,1
2017,571,c,codeblocks,27,2
2016,561,angularjs,codeigniter,26,1
2016,316,ajax,codeigniter,30,2
2016,307,bootstrap,codeigniter,23,3
2017,1228,ajax,codeigniter,19,1
2017,540,angularjs,codeigniter,22,2
2017,490,bootstrap,codeigniter,18,3
2015,1,angularjs,cordova,24,1
2016,695,angularjs,cordova,20,1
2017,391,angularjs,cordova,31,1
2015,37,c#,css,14,1
2015,31,android,css,9,2
2015,11,ajax,css,8,3
