"tag","icon"
.net,.net
apache,apache
asp.net,asp.net
ajax,ajax
android,android
c,c
c++,c++
csv,csv
visual-c++,c++
c#,csharp
css,css
delphi,delhi
django,django
excel,excel
facebook,facebook
git,github
go,go
google-maps,google-maps
html,html
ios,ios
java,java
javascript,javascript
laravel,laravel
linux,linux
mariadb,mariadb
monaca,monaca
mongodb,mongodb
mysql,mysql
nodejs,nodejs
node.js,nodejs
onsen-ui,onsen-ui
oracle,oracle
os-x,os-x
osx,os-x
pascal,pascal

pdf,pdf
php,php
postgresql,postgresql
python,python
qt,qt
raspberry-pi,raspberry-pi
ruby-on-rails,ruby-on-rails
sqlite,sqlite
sql-server,sql-server
swift,swift
twitter,twitter
unity3d,unity3d
virtualbox,virtualbox
visual-studio,visual-studio
vkontakte-api,vkontakte
windows,windows
wordpress,wordpress
xamarin,xamarin
xampp,xampp
xcode,xcode
xml,xml
