"year","month","day","tag","answercount","commentcount","questioncount","upvotes","downvotes","offensivevotes"
2014,9,29,ruby,3,3,1,0,0,0
2014,10,4,go,2,0,1,0,0,0
2014,10,9,android,1,0,1,0,0,0
2014,10,9,php,5,3,1,0,0,0
2014,10,9,python,3,0,1,1,0,0
2014,10,16,ios,2,1,1,1,0,0
2014,10,16,xcode,2,1,1,1,0,0
2014,10,26,javascript,1,0,1,0,0,0
2014,10,27,javascript,0,1,0,2,0,0
2014,11,11,go,0,1,0,1,0,0
2014,11,11,php,0,3,0,2,0,0
2014,11,16,android,1,0,1,0,0,0
2014,11,16,android-studio,1,0,1,0,0,0
2014,11,17,android,0,1,0,1,0,0
2014,11,17,android-studio,0,1,0,1,0,0
2014,11,17,linux,2,0,1,1,0,0
2014,11,19,linux,0,0,0,0,0,0
2014,11,21,java,1,0,1,0,0,0
2014,11,21,javascript,1,0,1,0,0,0
2014,11,24,javascript,5,0,1,0,0,0
2014,11,24,ruby,5,0,1,0,0,0
2014,11,25,bash,1,0,1,1,0,0
2014,11,25,c,4,0,1,1,0,0
2014,11,25,git,5,1,1,0,0,0
2014,11,25,java,0,0,0,1,0,0
2014,11,25,javascript,0,0,0,2,0,0
2014,11,25,objective-c,5,4,2,2,0,0
2014,11,25,ruby,13,1,2,1,0,0
2014,11,25,ruby-on-rails,13,1,2,0,0,0
2014,11,25,swift,6,4,3,2,0,0
2014,11,25,windows,6,0,1,0,0,0
2014,11,25,xcode,3,0,2,0,0,0
2014,11,26,angularjs,1,4,1,1,0,0
2014,11,26,c,0,1,0,1,0,0
2014,11,26,git,0,0,0,1,0,0
2014,11,26,java,2,4,1,2,0,0
2014,11,26,javascript,1,4,1,1,0,0
2014,11,26,ruby,0,0,0,1,0,0
2014,11,26,ruby-on-rails,0,0,0,1,0,0
2014,11,27,git,0,2,0,2,0,0
2014,11,29,git,0,0,0,0,0,0
2014,12,1,objective-c,0,0,0,0,0,0
2014,12,1,swift,0,0,0,0,0,0
2014,12,1,xcode,0,0,0,0,0,0
2014,12,2,.net,4,4,1,3,0,0
2014,12,2,android,3,10,2,1,0,0
2014,12,2,angularjs,0,1,0,1,0,0
2014,12,2,bash,16,18,2,5,0,0
2014,12,2,c#,4,4,1,3,0,0
2014,12,2,centos,1,0,1,1,0,0
2014,12,2,css,4,12,2,2,0,0
2014,12,2,git,7,2,3,4,0,0
2014,12,2,github,3,1,1,1,0,0
2014,12,2,go,3,1,1,1,0,0
2014,12,2,google-chrome,1,5,1,1,0,0
2014,12,2,html5,3,7,1,1,0,0
2014,12,2,ios,1,0,1,0,0,0
2014,12,2,javascript,3,8,1,2,0,0
2014,12,2,objective-c,0,1,0,3,0,0
2014,12,2,os-x,21,25,4,10,0,0
2014,12,2,php,0,0,0,1,0,0
2014,12,2,python,7,1,2,4,0,0
2014,12,2,ruby,0,5,0,4,0,0
2014,12,2,ruby-on-rails,0,5,0,4,0,0
2014,12,2,sql-server,1,0,1,0,0,0
2014,12,2,swift,0,2,0,6,0,0
2014,12,2,visual-studio,4,4,1,3,0,0
2014,12,2,windows,2,5,1,1,0,0
2014,12,2,xcode,1,2,1,5,0,0
2014,12,2,xcode6,1,1,1,1,0,0
2014,12,3,android,2,1,1,1,0,0
2014,12,3,bash,0,1,0,2,0,0
2014,12,3,centos,0,1,0,0,0,0
2014,12,3,css,0,0,0,3,0,0
2014,12,3,git,0,4,0,0,0,0
2014,12,3,github,0,3,0,0,0,0
2014,12,3,go,0,3,0,0,0,0
2014,12,3,html5,2,4,1,5,0,0
2014,12,3,ios,7,10,3,5,1,0
2014,12,3,iphone,3,4,1,1,0,0
2014,12,3,java,4,4,2,3,0,0
2014,12,3,javascript,3,4,2,8,0,0
2014,12,3,jquery,2,4,1,2,0,0
2014,12,3,objective-c,1,0,1,2,0,0
2014,12,3,os-x,3,8,2,6,0,0
2014,12,3,php,1,0,1,1,0,0
2014,12,3,python,0,5,0,1,0,0
2014,12,3,sql-server,0,0,0,1,0,0
2014,12,4,android,6,5,2,3,0,0
2014,12,4,ios,1,0,1,1,0,0
2014,12,4,javascript,3,2,2,4,0,0
2014,12,4,linux,3,0,1,1,0,0
2014,12,4,os-x,1,2,1,1,1,0
2014,12,4,ruby,1,4,1,4,0,0
2014,12,4,ruby-on-rails,0,3,0,2,0,0
2014,12,4,vim,3,0,1,1,0,0
2014,12,4,windows,0,3,0,1,0,0
2014,12,4,xcode,1,2,1,1,1,0
2014,12,4,xml,1,1,1,2,0,0
2014,12,4,xpath,1,1,1,2,0,0
2014,12,5,.net,1,1,1,1,0,0
2014,12,5,android,8,10,4,8,0,0
2014,12,5,android-studio,3,0,1,3,0,0
2014,12,5,c#,1,1,1,1,0,0
2014,12,5,cordova,1,5,1,3,0,0
2014,12,5,gradle,3,0,1,3,0,0
2014,12,5,ios,2,2,1,2,0,0
2014,12,5,javascript,0,0,0,0,0,0
2014,12,5,os-x,2,2,1,2,0,0
2014,12,5,ruby,0,0,0,0,0,0
2014,12,5,ruby-on-rails,5,8,2,2,2,0
2014,12,6,.net,0,0,0,0,0,0
2014,12,6,android,0,1,0,0,0,0
2014,12,6,c#,0,0,0,0,0,0
2014,12,6,css,1,1,1,1,0,0
2014,12,6,ios,4,5,2,3,0,0
2014,12,6,linux,2,4,1,0,0,0
2014,12,6,objective-c,1,5,1,1,0,0
2014,12,6,os-x,0,0,0,2,0,0
2014,12,6,php,4,0,2,1,0,0
2014,12,6,ruby,4,5,3,2,0,0
2014,12,6,ruby-on-rails,1,1,1,4,0,0
2014,12,6,swift,3,0,1,0,0,0
2014,12,7,android,1,4,1,4,0,0
2014,12,7,ios,0,3,0,3,0,0
2014,12,7,linux,0,0,0,1,0,0
2014,12,7,php,0,0,0,2,0,0
2014,12,7,ruby,6,2,1,6,0,0
2014,12,7,swift,0,3,0,3,0,0
2014,12,8,.net,2,3,1,3,0,0
2014,12,8,android,3,5,2,6,0,0
2014,12,8,android-studio,0,0,0,1,0,0
2014,12,8,c#,2,3,1,3,0,0
2014,12,8,git,3,2,1,3,0,0
2014,12,8,gradle,0,0,0,1,0,0
2014,12,8,html5,2,3,1,3,0,0
2014,12,8,ios,4,2,1,2,0,0
2014,12,8,javascript,3,2,1,1,0,0
2014,12,8,jquery,3,2,1,1,0,0
2014,12,8,objective-c,0,1,0,0,0,0
2014,12,8,ruby,6,13,3,3,0,0
2014,12,8,ruby-on-rails,6,13,3,3,0,0
2014,12,8,vim,3,0,1,1,0,0
2014,12,8,windows,3,0,1,1,0,0
2014,12,9,android,0,0,0,1,0,0
2014,12,9,bash,0,1,0,0,0,0
2014,12,9,ios,0,9,0,1,0,0
2014,12,9,java,7,0,1,0,0,0
2014,12,9,os-x,0,1,0,0,0,0
2014,12,9,ruby,0,2,0,1,0,0
2014,12,9,ruby-on-rails,0,2,0,1,0,0
2014,12,9,swift,0,9,0,1,0,0
2014,12,9,unity3d,1,3,1,2,0,0
2014,12,9,vim,0,2,0,1,0,0
2014,12,9,windows,0,2,0,1,0,0
2014,12,10,java,0,0,0,0,0,0
2014,12,10,os-x,0,0,0,1,0,0
2014,12,10,python,1,0,1,2,0,0
2014,12,10,ruby,0,2,0,0,0,0
2014,12,11,c,8,4,1,7,0,0
2014,12,11,cakephp,2,3,1,0,0,0
2014,12,11,css,6,3,2,3,0,0
2014,12,11,git,5,2,1,1,0,0
2014,12,11,html5,6,3,2,3,0,0
2014,12,11,ios,3,10,2,5,0,0
2014,12,11,javascript,6,3,2,3,0,0
2014,12,11,jquery,6,3,2,3,0,0
2014,12,11,php,2,4,1,0,0,0
2014,12,11,unity3d,7,3,3,2,0,0
2014,12,11,windows,1,1,1,1,0,0
2014,12,12,android,1,1,1,2,0,0
2014,12,12,c,4,4,1,3,0,0
