"year","count","tag1","tag2","rank1","rank2"
2015,526,android,android-fragments,11,1
2016,40,android,android-fragments,31,1
2017,1,android,android-fragments,32,1
2015,576,android,android-layout,7,1
2016,122,android,android-layout,13,1
2017,77,android,android-layout,25,1
2014,46,android,android-studio,4,1
2015,795,android,android-studio,2,1
2016,236,android,android-studio,2,1
2017,189,android,android-studio,2,1
2014,28,android,bash,19,1
2015,432,android,bash,16,1
2016,28,android,bash,32,1
2017,45,android,bash,30,1
2014,21,android,c,23,1
2014,8,.net,c,6,2
2015,336,android,c,26,1
2015,121,.net,c,6,2
2016,53,.net,c,7,1
2016,47,android,c,30,2
2017,110,android,c,12,1
2017,41,.net,c,3,2
2014,41,android,c#,5,1
2014,24,.net,c#,1,2
2014,8,c,c#,15,3
2015,340,android,c#,25,1
2015,235,c,c#,6,2
2015,192,.net,c#,1,3
2016,121,.net,c#,1,1
2016,104,android,c#,20,2
2016,83,c,c#,11,3
2017,159,c,c#,13,1
2017,60,android,c#,29,2
2017,59,.net,c#,1,3
2014,31,android,c++,16,1
2014,14,c#,c++,16,2
2014,7,.net,c++,7,3
2014,6,c,c++,20,4
2015,466,c#,c++,5,1
2015,332,android,c++,27,2
2015,325,c,c++,1,3
2015,126,.net,c++,4,4
2016,212,c#,c++,13,1
2016,138,c,c++,1,2
2016,120,android,c++,15,3
2016,63,.net,c++,6,4
2017,238,c,c++,1,1
2017,135,c#,c++,26,2
2017,125,android,c++,8,3
2017,26,.net,c++,7,4
2014,13,c++,c++11,2,1
2014,3,c,c++11,26,2
2015,268,c++,c++11,6,1
2015,168,c,c++11,17,2
2016,91,c++,c++11,6,1
2016,60,c,c++11,19,2
2017,142,c++,c++11,10,1
2017,95,c,c++11,24,2
2014,5,c,centos,22,1
2014,1,c++,centos,25,2
2015,204,c++,centos,14,1
2015,178,c,centos,15,2
2016,71,c,centos,15,1
2016,48,c++,centos,16,2
2017,82,c,centos,26,1
2017,78,c++,centos,23,2
2014,6,android,cordova,27,1
2015,306,android,cordova,30,1
2016,105,android,cordova,19,1
2017,83,android,cordova,23,1
2014,39,android,css,7,1
2014,18,c#,css,10,2
2014,9,c,css,12,3
2014,7,c++,css,14,4
2015,428,android,css,17,1
2015,393,c#,css,10,2
2015,216,c++,css,13,3
2015,178,c,css,14,4
2016,111,c#,css,28,1
2016,72,c,css,14,2
2016,70,android,css,27,3
2016,64,c++,css,12,4
2017,224,c#,css,13,1
2017,122,c,css,19,2
2017,115,android,css,11,3
2017,84,c++,css,20,4
2014,49,android,eclipse,3,1
2015,480,android,eclipse,13,1
2016,138,android,eclipse,8,1
2017,117,android,eclipse,10,1
2015,183,c#,excel,27,1
2016,197,c#,excel,17,1
2017,205,c#,excel,19,1
2016,66,c,gcc,16,1
2017,162,c,gcc,12,1
2014,35,android,git,12,1
2014,25,css,git,6,2
2014,13,c,git,4,3
2014,10,c++,git,12,4
2015,446,android,git,15,1
2015,222,c++,git,11,2
2015,170,c,git,16,3
2015,111,css,git,17,4
2016,82,android,git,24,1
2016,48,css,git,20,2
2016,47,c++,git,17,3
2016,44,c,git,24,4
2017,102,c,git,23,1
2017,102,c++,git,16,2
2017,81,css,git,18,3
2017,79,android,git,24,4
2014,13,git,github,10,1
