"year","month","day","tag","answercount","commentcount","questioncount","upvotes","downvotes","offensivevotes"
2013,12,11,.net,16,21,3,10,1,0
2013,12,11,ado.net,5,3,1,1,1,0
2013,12,11,android,9,3,1,0,0,0
2013,12,11,angularjs,2,3,1,1,0,0
2013,12,11,angularjs-directives,2,3,1,1,0,0
2013,12,11,asp.net,4,3,2,0,0,0
2013,12,11,asp.net-mvc,4,3,2,0,0,0
2013,12,11,c#,20,26,5,16,1,0
2013,12,11,c++,2,15,1,2,0,0
2013,12,11,css,8,17,2,4,0,0
2013,12,11,data,4,4,1,3,1,0
2013,12,11,eclipse,9,3,1,0,0,0
2013,12,11,entity-framework,2,4,1,6,0,0
2013,12,11,html5,1,3,1,1,0,0
2013,12,11,iis,2,1,1,0,0,0
2013,12,11,java,19,38,7,21,2,0
2013,12,11,javascript,22,35,7,17,1,0
2013,12,11,jquery,3,3,1,3,0,0
2013,12,11,jsf,4,11,2,2,0,0
2013,12,11,jsf-2.2,2,7,1,2,0,0
2013,12,11,linq,2,4,1,6,0,0
2013,12,11,magento,2,2,1,0,0,0
2013,12,11,mysql,5,4,1,2,1,0
2013,12,11,node.js,5,10,2,6,0,0
2013,12,11,oracle,1,2,1,0,0,0
2013,12,11,php,11,25,4,7,2,0
2013,12,11,python,4,7,2,5,0,0
2013,12,11,qt,2,15,1,2,0,0
2013,12,11,ruby,8,16,2,3,0,0
2013,12,11,ruby-on-rails,4,13,1,2,0,0
2013,12,11,spring,1,0,1,0,0,0
2013,12,11,spring-mvc,1,0,1,0,0,0
2013,12,11,sql-server,6,2,1,4,1,0
2013,12,11,tomcat,2,4,1,0,0,0
2013,12,11,tsql,6,2,1,4,1,0
2013,12,11,twitter-bootstrap,4,13,1,2,0,0
2013,12,11,youtube,2,3,1,0,0,0
2013,12,12,.net,3,3,1,6,0,0
2013,12,12,android,0,0,0,0,0,0
2013,12,12,asp.net,5,3,2,4,0,0
2013,12,12,asp.net-mvc,6,13,2,2,0,0
2013,12,12,c#,14,20,5,12,0,0
2013,12,12,c++,0,3,0,1,0,0
2013,12,12,css,12,18,2,10,0,0
2013,12,12,eclipse,0,0,0,0,0,0
2013,12,12,git,10,24,2,8,0,0
2013,12,12,google-chrome,1,0,1,0,0,0
2013,12,12,html,6,7,1,6,0,0
2013,12,12,html5,9,29,2,7,1,0
2013,12,12,iis,2,2,1,2,0,0
2013,12,12,java,5,3,1,5,0,0
2013,12,12,javascript,19,51,7,20,1,0
2013,12,12,jquery,8,21,3,10,0,0
2013,12,12,jsf,0,7,0,0,0,0
2013,12,12,laravel,2,2,1,1,0,0
2013,12,12,laravel-4,2,2,1,1,0,0
2013,12,12,laravel-eloquent,2,2,1,1,0,0
2013,12,12,mysql,11,25,2,4,0,0
2013,12,12,oracle,0,0,0,0,0,0
2013,12,12,php,8,11,2,4,0,0
2013,12,12,python,2,2,1,3,0,0
