"year","count","tag1","tag2","rank1","rank2"
2013,9,.net,ado.net,18,1
2014,694,.net,ado.net,19,1
2015,1096,.net,ado.net,26,1
2016,1012,.net,ado.net,26,1
2017,515,.net,ado.net,32,1
2013,7,.net,ajax,21,1
2014,736,.net,ajax,16,1
2015,1319,.net,ajax,18,1
2016,1227,.net,ajax,15,1
2017,937,.net,ajax,17,1
2013,3,.net,android,25,1
2013,1,ajax,android,19,2
2014,711,ajax,android,10,1
2014,674,.net,android,21,2
2015,1205,.net,android,21,1
2015,1050,ajax,android,12,2
2016,1139,.net,android,17,1
2016,1052,ajax,android,10,2
2017,1332,ajax,android,13,1
2017,1083,.net,android,14,2
2014,1301,android,android-activity,20,1
2015,2410,android,android-activity,15,1
2016,2976,android,android-activity,10,1
2017,4188,android,android-activity,5,1
2014,849,android,android-adapter,30,1
2015,1231,android,android-adapter,28,1
2016,1302,android,android-adapter,30,1
2017,2528,android,android-adapter,17,1
2014,1727,android,android-fragment,14,1
2015,2465,android,android-fragment,14,1
2016,2335,android,android-fragment,13,1
2017,3825,android,android-fragment,7,1
2014,2503,android,android-layout,3,1
2015,3590,android,android-layout,4,1
2016,3854,android,android-layout,2,1
2017,4563,android,android-layout,3,1
2013,6,android,android-studio,6,1
2014,1052,android,android-studio,26,1
2015,3721,android,android-studio,2,1
2016,3792,android,android-studio,3,1
2017,4716,android,android-studio,2,1
2013,1,android,angularjs,20,1
2013,1,ajax,angularjs,17,2
2014,1054,android,angularjs,25,1
2014,451,.net,angularjs,31,2
2014,450,ajax,angularjs,19,3
2015,1430,android,angularjs,24,1
2015,1046,ajax,angularjs,14,2
2015,944,.net,angularjs,32,3
2016,1635,android,angularjs,22,1
2016,1055,.net,angularjs,22,2
2016,1009,ajax,angularjs,12,3
2017,1840,android,angularjs,26,1
2017,1431,ajax,angularjs,11,2
2017,839,.net,angularjs,25,3
2013,1,angularjs,angularjs-directives,13,1
2014,136,angularjs,angularjs-directives,15,1
2015,871,angularjs,angularjs-directives,12,1
2016,907,angularjs,angularjs-directives,13,1
2017,470,angularjs,angularjs-directives,23,1
2014,344,ajax,apache,25,1
2015,846,ajax,apache,21,1
2016,778,ajax,apache,19,1
2017,844,ajax,apache,27,1
2014,1233,android,apache-cordova,21,1
2014,229,ajax,apache-cordova,30,2
2014,59,angularjs,apache-cordova,20,3
2015,1433,android,apache-cordova,23,1
2015,820,ajax,apache-cordova,22,2
2015,769,angularjs,apache-cordova,14,3
2016,1387,android,apache-cordova,27,1
2016,787,angularjs,apache-cordova,16,2
2016,698,ajax,apache-cordova,23,3
2017,1455,android,apache-cordova,29,1
2017,735,ajax,apache-cordova,30,2
2017,591,angularjs,apache-cordova,22,3
2013,39,.net,asp.net,8,1
2013,1,ajax,asp.net,16,2
2014,920,.net,asp.net,3,1
2014,532,ajax,asp.net,15,2
2014,124,angularjs,asp.net,17,3
2015,1592,.net,asp.net,8,1
2015,974,ajax,asp.net,15,2
2015,629,angularjs,asp.net,20,3
2016,1354,.net,asp.net,10,1
2016,627,angularjs,asp.net,21,2
2016,598,ajax,asp.net,29,3
2017,1238,.net,asp.net,4,1
2017,999,ajax,asp.net,23,2
2017,813,angularjs,asp.net,18,3
2013,34,.net,asp.net-mvc,10,1
2013,17,asp.net,asp.net-mvc,7,2
2013,1,ajax,asp.net-mvc,21,3
2013,1,android,asp.net-mvc,19,4
2014,1521,android,asp.net-mvc,19,1
2014,897,.net,asp.net-mvc,5,2
2014,621,ajax,asp.net-mvc,13,3
2014,549,asp.net,asp.net-mvc,5,4
2014,146,angularjs,asp.net-mvc,14,5
2015,1619,.net,asp.net-mvc,7,1
2015,1291,android,asp.net-mvc,27,2
2015,1047,ajax,asp.net-mvc,13,3
2015,981,asp.net,asp.net-mvc,5,4
2015,807,angularjs,asp.net-mvc,13,5
2016,1468,android,asp.net-mvc,25,1
2016,1419,.net,asp.net-mvc,6,2
2016,991,angularjs,asp.net-mvc,12,3
2016,654,asp.net,asp.net-mvc,3,4
