"year","month","day","tag","answercount","commentcount","questioncount","upvotes","downvotes","offensivevotes"
2010,10,10,linux,2,3,1,0,0,0
2010,10,10,postgresql,2,0,1,0,0,0
2010,10,10,python,1,2,1,0,0,0
2010,10,11,android,4,0,4,0,0,0
2010,10,11,git,1,0,1,1,0,0
2010,10,11,google-chrome,2,1,1,1,0,0
2010,10,11,linux,7,0,4,2,0,0
2010,10,11,ubuntu,4,0,1,0,0,0
2010,10,12,android,1,0,1,0,0,0
2010,10,12,apache,5,4,1,0,0,0
2010,10,12,c,1,0,1,0,0,0
2010,10,12,django,2,0,1,0,0,0
2010,10,12,linux,9,0,8,0,0,0
2010,10,12,ubuntu,5,4,1,0,0,0
2010,10,12,unix,2,0,1,0,0,0
2010,10,13,android,1,0,1,0,0,0
2010,10,13,apache,1,0,1,0,0,0
2010,10,13,eclipse,1,0,1,0,0,0
2010,10,13,linux,2,0,2,0,0,0
2010,10,13,postgresql,1,0,1,0,0,0
2010,10,13,python,1,0,1,0,0,0
2010,10,13,ubuntu,1,0,1,0,0,0
2010,10,14,android,7,0,5,0,0,0
2010,10,14,eclipse,1,0,1,0,0,0
2010,10,14,ide,3,0,1,0,0,0
2010,10,14,java,0,0,0,0,0,0
2010,10,14,linux,9,0,3,0,0,0
2010,10,15,c,8,1,2,0,0,0
2010,10,15,c++,1,0,1,0,0,0
2010,10,15,java,2,5,1,0,0,0
2010,10,16,django,0,0,0,0,0,0
2010,10,19,android,2,0,2,0,0,0
2010,10,19,c,1,2,1,0,0,0
2010,10,19,ubuntu,1,0,1,0,0,0
2010,10,20,c,10,1,4,0,0,0
2010,10,20,c#,7,14,3,0,0,0
2010,10,20,c++,21,5,9,0,0,0
2010,10,20,linux,4,1,1,0,0,0
2010,10,20,ubuntu,7,0,2,0,0,0
2010,10,21,android,2,1,2,0,0,0
2010,10,21,c,8,1,4,0,0,0
2010,10,21,c#,3,0,2,0,0,0
2010,10,21,c++,13,2,8,1,0,0
2010,10,21,css,5,1,1,0,0,0
2010,10,21,html,8,1,2,0,0,0
2010,10,21,html5,5,1,1,0,0,0
2010,10,21,ide,0,1,0,0,0,0
2010,10,21,java,9,0,7,0,0,0
2010,10,21,javascript,5,0,2,0,0,0
2010,10,21,ubuntu,3,2,2,1,0,0
2010,10,21,visual-studio,1,0,1,0,0,0
2010,10,22,c,0,0,0,0,0,0
2010,10,22,c++,5,0,2,0,0,0
2010,10,22,ubuntu,4,0,1,0,0,0
2010,10,22,visual-studio,0,0,0,0,0,0
2010,10,23,android,0,0,0,0,0,0
2010,10,23,apache,1,1,1,0,0,0
2010,10,23,c,0,0,0,0,0,0
2010,10,23,c++,0,0,0,0,0,0
2010,10,23,html,0,0,0,0,0,0
2010,10,23,javascript,0,0,0,0,0,0
2010,10,23,linux,1,0,1,0,0,0
2010,10,23,ubuntu,2,0,2,0,0,0
2010,10,24,c,1,0,1,0,0,0
2010,10,24,c++,8,0,6,0,0,0
2010,10,24,django,2,0,1,0,0,0
2010,10,24,linux,4,0,1,0,0,0
2010,10,24,unix,4,0,1,0,0,0
2010,10,24,windows,3,0,2,0,0,0
2010,10,25,android,0,0,0,0,0,0
2010,10,25,c,0,0,0,0,0,0
2010,10,25,c++,0,3,0,0,0,0
2010,10,25,google-chrome,2,0,2,0,0,0
2010,10,25,java,1,1,1,0,0,0
2010,10,25,linux,13,2,4,0,0,0
2010,10,25,ubuntu,4,1,2,0,0,0
2010,10,25,unix,10,2,3,0,0,0
2010,10,25,windows,1,0,1,0,0,0
2010,10,26,c,1,0,1,0,0,0
2010,10,26,c++,6,5,3,0,0,0
2010,10,26,linux,16,0,4,0,0,0
2010,10,26,ubuntu,1,0,1,0,0,0
2010,10,26,unix,6,0,1,0,0,0
2010,10,27,c,13,1,3,0,0,0
2010,10,27,c++,13,1,3,0,0,0
2010,10,27,gcc,2,1,2,1,0,0
2010,10,27,linux,1,1,1,1,0,0
2010,10,27,ubuntu,1,1,1,0,0,0
2010,10,27,unix,0,0,0,0,0,0
2010,10,28,c,4,1,1,0,0,0
2010,10,28,gcc,1,1,1,0,0,0
2010,10,28,linux,1,1,1,0,0,0
2010,10,29,c,3,0,2,0,0,0
2010,10,29,c++,1,0,1,0,0,0
2010,10,29,gcc,2,0,1,0,0,0
2010,10,31,postgresql,1,0,1,0,0,0
2010,11,4,python,2,0,1,0,0,0
2010,11,5,django,1,0,1,0,0,0
2010,11,5,python,1,0,1,0,0,0
2010,11,8,linux,1,0,1,0,0,0
2010,11,10,linux,1,0,1,0,0,0
2010,11,11,android,1,0,1,0,0,0
2010,11,11,c,4,1,2,0,0,0
2010,11,12,.net,3,0,2,0,0,0
2010,11,12,c,2,2,1,0,0,0
2010,11,12,c#,3,0,2,0,0,0
2010,11,12,c++,3,2,2,0,0,0
2010,11,12,windows,3,2,2,0,0,0
2010,11,12,wpf,3,0,2,0,0,0
2010,11,13,postgresql,2,2,1,0,0,0
2010,11,14,html,1,0,1,0,0,0
2010,11,14,javascript,1,0,1,0,0,0
2010,11,14,jquery,1,0,1,0,0,0
2010,11,16,linux,1,0,1,0,0,0
2010,11,17,c,2,1,2,0,0,0
2010,11,17,c++,2,1,2,0,0,0
2010,11,17,gcc,2,0,2,0,0,0
2010,11,17,linux,2,1,2,0,0,0
2010,11,18,c#,2,0,1,0,0,0
2010,11,18,gcc,1,0,1,0,0,0
2010,11,18,wpf,2,0,1,0,0,0
2010,11,18,xaml,2,0,1,0,0,0
2010,11,19,android,1,0,1,0,0,0
2010,11,19,c,4,1,1,1,0,0
2010,11,19,c#,0,0,0,1,0,0
2010,11,19,c++,4,1,1,1,0,0
2010,11,19,wpf,0,0,0,1,0,0
2010,11,19,xaml,0,0,0,1,0,0
2010,11,20,windows,1,0,1,0,0,0
2010,11,21,c++,1,0,1,0,0,0
2010,11,22,android,0,0,0,0,0,0
2010,11,22,c,2,0,1,0,0,0
2010,11,22,c++,2,2,1,0,0,0
2010,11,22,django,1,0,1,0,0,0
2010,11,22,linux,2,0,1,0,0,0
2010,11,22,python,1,0,1,0,0,0
2010,11,22,windows,0,2,0,0,0,0
2010,11,23,c,4,0,2,0,0,0
2010,11,23,c++,3,0,1,0,0,0
2010,11,23,django,0,0,0,0,0,0
2010,11,23,gcc,1,0,1,0,0,0
2010,11,23,linux,0,0,0,0,0,0
2010,11,23,python,0,0,0,0,0,0
2010,11,24,android,3,0,3,0,0,0
2010,11,24,c,3,0,3,0,0,0
2010,11,24,c++,2,0,2,0,0,0
2010,11,24,gcc,0,0,0,0,0,0
2010,11,24,javascript,2,0,1,0,0,0
2010,11,24,python,4,3,1,0,0,0
2010,11,25,c,1,0,1,0,0,0
2010,11,25,c#,1,0,1,0,0,0
2010,11,25,c++,1,0,1,0,0,0
2010,11,25,gcc,1,0,1,0,0,0
2010,11,25,javascript,0,0,0,1,0,0
2010,11,25,linux,1,0,1,0,0,0
2010,11,25,xaml,1,0,1,0,0,0
2010,11,26,c#,0,1,0,0,0,0
2010,11,26,gcc,0,0,0,0,0,0
2010,11,26,linux,1,0,1,0,0,0
2010,11,26,python,0,0,0,0,0,0
2010,11,26,xaml,0,1,0,0,0,0
2010,11,29,c,1,1,1,0,0,0
2010,11,29,linux,1,1,1,0,0,0
2010,11,30,android,2,0,2,0,0,0
2010,11,30,eclipse,1,0,1,0,0,0
2010,11,30,java,6,0,4,0,0,0
2010,12,1,java,0,0,0,0,0,0
2010,12,1,windows,1,0,1,0,0,0
2010,12,2,c,1,0,1,0,0,0
2010,12,2,c++,7,1,3,0,0,0
2010,12,2,javascript,3,0,1,0,0,0
2010,12,2,jquery,3,0,1,0,0,0
2010,12,2,windows,1,0,1,0,0,0
2010,12,3,c,1,0,1,0,0,0
2010,12,3,c#,6,2,2,0,0,0
2010,12,3,visual-studio,5,1,1,0,0,0
2010,12,4,c,2,0,1,0,0,0
2010,12,4,c#,2,1,2,0,0,0
2010,12,5,python,1,0,1,0,0,0
2010,12,6,c,3,0,1,0,0,0
2010,12,6,c#,2,0,2,1,0,0
2010,12,6,c++,4,0,2,0,0,0
2010,12,6,javascript,1,0,1,1,0,0
2010,12,6,jquery,1,0,1,1,0,0
2010,12,6,linq,1,0,1,0,0,0
2010,12,6,windows,1,0,1,0,0,0
2010,12,7,c,3,0,2,1,0,0
2010,12,7,c#,3,0,2,0,0,0
2010,12,7,c++,2,0,1,1,0,0
2010,12,7,java,5,0,1,0,0,0
2010,12,7,javascript,0,0,0,0,0,0
2010,12,7,jquery,0,0,0,0,0,0
2010,12,7,linq,1,0,1,0,0,0
2010,12,7,python,0,2,0,0,0,0
2010,12,8,c,1,2,1,0,0,0
2010,12,8,c#,1,0,1,0,0,0
2010,12,8,c++,1,0,1,0,0,0
2010,12,8,java,0,0,0,0,0,0
2010,12,8,linq,0,0,0,0,0,0
2010,12,8,ubuntu,3,0,1,0,0,0
2010,12,8,windows,1,0,1,0,0,0
2010,12,9,c#,2,0,1,0,0,0
2010,12,9,windows,2,0,1,0,0,0
